savings,stalls
0.75,219.25
0.75,164.5
0.75,130.25
0.75,219.25
0.75,217.75
0.75,284.5
0.75,219.25
0.75,164.5
0.75,130.25
0.75,224.5
0.75,217.75
0.75,254.5
0.75,279.25
0.75,250.25
0.75,280.25
0.75,251.75
0.75,250.25
0.75,254.5
0.75,270.0
0.75,250.25
0.75,277.75
0.75,251.75
0.75,250.25
0.75,254.5
0.75,219.25
0.75,164.5
0.75,129.25
0.75,224.5
0.75,217.75
0.75,254.5
0.75,219.25
0.75,164.5
0.75,129.25
0.75,224.5
0.75,217.75
0.75,254.5
0.75,280.25
0.75,250.25
0.75,305.0
0.75,261.0
0.75,250.25
0.75,254.5
0.75,219.25
0.75,129.25
0.75,164.5
0.75,224.5
0.75,217.75
0.75,254.5
0.75,219.25
0.75,164.5
0.75,129.25
0.75,219.25
0.75,217.75
0.75,284.5
0.75,251.75
0.75,279.25
0.75,250.25
0.75,251.75
0.75,250.25
0.75,254.5
0.75,219.25
0.75,164.5
0.75,129.25
0.75,224.5
0.75,217.75
0.75,254.5
0.75,251.75
0.75,280.25
0.75,250.25
0.75,251.75
0.75,250.25
0.75,254.5
0.75,279.25
0.75,250.25
0.75,300.0
0.75,251.75
0.75,250.25
0.75,254.5
0.75,219.25
0.75,164.5
0.75,129.25
0.75,219.25
0.75,217.75
0.75,284.5
0.75,280.25
0.75,280.25
0.75,250.25
0.75,251.75
0.75,250.25
0.75,254.5
0.75,219.25
0.75,164.5
0.75,224.5
