num_segments,video_duration,total_qoe,avg_qoe_per_segment,total_rebuf_time,rebuf_ratio,stall_events,stall_frequency,avg_weighted_quality_kbps,weighted_quality_mbps,viewport_hits,viewport_misses,viewport_hit_rate,segments_with_user_data,user_data_coverage,total_wasted_bits,wasted_bits_ratio,total_unpredicted_latency,avg_unpredicted_latency_per_segment,total_bits_downloaded,total_mb_downloaded,bandwidth_savings,avg_bandwidth_mbps,approach,user_trace_file,network_trace,video_id
69,69.91,-271819.61811562977,-3939.414755298982,63294.097236192974,905.3654303560718,69,1.0,5000.0,5.0,132,0,1.0,69,1.0,6858000000.0,0.8282608695652174,0.0,0.0,8280000000.0,1035.0,0.0,14.804748962952369,baseline,Timelapse-CIw8R8thnm8_0_processed.csv,Verizon1,CIw8R8thnm8
69,69.91,-67770.6395289074,-982.1831815783681,15772.524309048244,225.61184821982897,69,1.0,2778.0434782608695,2.7780434782608694,61,71,0.4621212121212121,69,1.0,967500000.0,0.4673913043478261,6.600000000000005,0.09565217391304355,2070000000.0,258.75,0.75,3.701187240738092,predictive_with_content,Timelapse-CIw8R8thnm8_0_processed.csv,Verizon1,CIw8R8thnm8
69,69.91,-183208.32058308928,-2655.1930519288303,42686.81874025326,610.5967492526571,69,1.0,5000.0,5.0,132,0,1.0,69,1.0,6858000000.0,0.8282608695652174,0.0,0.0,8280000000.0,1035.0,0.0,14.804748962952369,baseline,Timelapse-CIw8R8thnm8_0_processed.csv,Verizon2,CIw8R8thnm8
69,69.91,-45617.815145772285,-661.1277557358302,10620.704685063314,151.91967794397533,69,1.0,2778.0434782608695,2.7780434782608694,61,71,0.4621212121212121,69,1.0,967500000.0,0.4673913043478261,6.600000000000005,0.09565217391304355,2070000000.0,258.75,0.75,3.701187240738092,predictive_with_content,Timelapse-CIw8R8thnm8_0_processed.csv,Verizon2,CIw8R8thnm8
69,69.91,-2944.346042013269,-42.67168176830825,764.9641958170394,10.94212839103189,69,1.0,5000.0,5.0,132,0,1.0,69,1.0,6858000000.0,0.8282608695652174,0.0,0.0,8280000000.0,1035.0,0.0,14.804748962952369,baseline,Timelapse-CIw8R8thnm8_0_processed.csv,ATT2,CIw8R8thnm8
69,69.91,-551.8215105033174,-7.997413195700252,140.24104895425987,2.0060227285690155,69,1.0,2778.0434782608695,2.7780434782608694,61,71,0.4621212121212121,69,1.0,967500000.0,0.4673913043478261,6.600000000000005,0.09565217391304355,2070000000.0,258.75,0.75,3.701187240738092,predictive_with_content,Timelapse-CIw8R8thnm8_0_processed.csv,ATT2,CIw8R8thnm8
69,69.91,-35601.68297430697,-515.9664199174923,8359.693714955109,119.57793899234886,69,1.0,5000.0,5.0,132,0,1.0,69,1.0,6858000000.0,0.8282608695652174,0.0,0.0,8280000000.0,1035.0,0.0,14.804748962952369,baseline,Timelapse-CIw8R8thnm8_0_processed.csv,ATT1,CIw8R8thnm8
69,69.91,-8716.15574357674,-126.32109773299625,2038.923428738777,29.164975378898255,69,1.0,2778.0434782608695,2.7780434782608694,61,71,0.4621212121212121,69,1.0,967500000.0,0.4673913043478261,6.600000000000005,0.09565217391304355,2070000000.0,258.75,0.75,3.701187240738092,predictive_with_content,Timelapse-CIw8R8thnm8_0_processed.csv,ATT1,CIw8R8thnm8
69,69.91,-4232.545971355111,-61.34124596166827,1064.5455747337467,15.227371974449245,69,1.0,5000.0,5.0,132,0,1.0,69,1.0,6858000000.0,0.8282608695652174,0.0,0.0,8280000000.0,1035.0,0.0,14.804748962952369,baseline,Timelapse-CIw8R8thnm8_0_processed.csv,TMobile2,CIw8R8thnm8
69,69.91,-873.8714928387775,-12.664804244040253,215.13639368343667,3.077333624423354,69,1.0,2778.0434782608695,2.7780434782608694,61,71,0.4621212121212121,69,1.0,967500000.0,0.4673913043478261,6.600000000000005,0.09565217391304355,2070000000.0,258.75,0.75,3.701187240738092,predictive_with_content,Timelapse-CIw8R8thnm8_0_processed.csv,TMobile2,CIw8R8thnm8
69,69.91,-34490.46182915106,-499.8617656398705,8101.27019282583,115.88142172544458,69,1.0,5000.0,5.0,132,0,1.0,69,1.0,6858000000.0,0.8282608695652174,0.0,0.0,8280000000.0,1035.0,0.0,14.804748962952369,baseline,Timelapse-CIw8R8thnm8_0_processed.csv,TMobile1,CIw8R8thnm8
