 Verizon1 (avg: 0.03 Mbps)
  Loaded: Verizon2 (avg: 0.05 Mbps)
  Loaded: ATT2 (avg: 1.34 Mbps)
  Loaded: ATT1 (avg: 0.29 Mbps)
  Loaded: TMobile2 (avg: 1.00 Mbps)
  Loaded: TMobile1 (avg: 0.23 Mbps)
  Loaded: fcc_train_trace_10719_htt (avg: 42.38 Mbps)
  Loaded: fcc_train_trace_14677_htt (avg: 67.38 Mbps)
  Loaded: fcc_train_trace_158454_ht (avg: 50.68 Mbps)
  Loaded: fcc_test_trace_216208_ht (avg: 12.12 Mbps)
  Loaded: fcc_test_trace_244754_ht (avg: 36.90 Mbps)
  Loaded: fcc_test_trace_27051_htt (avg: 44.05 Mbps)
